ID_Conta,ID_Dossie,Numero_Processo,Base_PIS,Tipo_Garantia,Valor_Garantia,Status_Processo,Nome_Cliente_Hash,CPF_Hash,Tribunal,Data_Atualizacao,Status_Tribunal,Classe_Processual,Conciliado
CTA-58044,DOS-50576,40001014320268260103,PIS_TRAB_004,Depósito Judicial,65109.2,PENDENTE,4cd3a8e64b98a68780fd199ee22036bfff4c772ba96ce135873a7f1cd7bb4de3,69608200976c732efddb1e0b2ab89417bd453aa58fc79112a41869dfe0699e44,TJSP,2026-04-28T01:52:34.339000Z,EM_ANDAMENTO,Carta Precatória Cível,True
CTA-77242,DOS-20265,40028247820268260606,PIS_CIVEL_003,Fiança Bancária,278234.53,EM_ANALISE,6ca2e57b4c186b46324cb5b33e370e4d3644219f7b56fb41cd4ce54de3781464,6daa74314a0cb24ee2373d1e14390c550d7fb2473e98a507d27e3ddcf742ffdc,TJSP,2026-04-28T01:52:34.457000Z,EM_ANDAMENTO,Procedimento do Juizado Especial Cível,True
CTA-95937,DOS-67641,40055122920258260224,PIS_REC_002,Fiança Bancária,342362.84,PENDENTE,31b906a3a23d724d702719c1814b1bfd15e12ed02cd8e8755e00cb41c2a89a76,a164d630a94ad830fc5a281210c2282e64fd44bd3486c4a683c12b419f1e3238,TJSP,2026-04-28T01:52:34.681000Z,SUSPENSO,Petição Cível,True
CTA-64007,DOS-73343,00003822420228260486,PIS_REC_002,Seguro Garantia,297720.79,ATIVO,9350b162259e2a106b6e34a68b9cb26207c38b7bf3a9bf9305d0747d36fb5a2c,fb9af5a19b13cc81e25dd6ef7bb05eefcabc0864ee53b411817977b95e581590,TJSP,2026-04-28T01:52:34.738000Z,ARQUIVADO,Cumprimento de sentença,True
CTA-16590,DOS-97252,40031554520268260223,PIS_CIVEL_003,Carta de Fiança,18338.42,ENCERRADO,184cf7bb198b18901e68f792c98da29cb0ae43dfe930ce4ef10b97a58a4d065c,0fbc24f99bdb24debb054978a66794441de997f8fc340ae17b7ce628d00ad2ac,TJSP,2026-04-28T01:52:34.798000Z,ARQUIVADO,Reclamação Pré-processual,True
CTA-81665,DOS-63563,40500305420268260100,PIS_REC_002,Depósito Judicial,72444.96,ATIVO,9714beab8bf69021f31fef5f9277d330f5bb3458e28a240056d2e71257ac3268,012cb9b6a118aa69b2e7560be42b5defec169f50d3b45c951d3394aa6f69af69,TJSP,2026-04-28T01:52:34.846000Z,BAIXADO,Procedimento Comum Cível,True
CTA-74693,DOS-97210,40026826420258260362,PIS_TRAB_004,Fiança Bancária,184187.03,ENCERRADO,fd18160a78607d0990ac00cff1fb7691657667a633e7edb2d9fcfc591c332946,65db04db5a8ba477d5f64dfdd9d9fcdff006570c3367c8a714cd3b3957694e21,TJSP,2026-04-28T01:52:34.927000Z,SUSPENSO,Procedimento do Juizado Especial Cível,True
CTA-45620,DOS-20127,40002505620258260529,PIS_REC_002,Carta de Fiança,68690.4,ATIVO,5ce3140efbef1dd7e521c5549ddec911862c2b515d99b3ba936adb664418ba3b,e7e913481224391ee4afe8cf8c5ea3f38fc53153e0b6e5f97883c24b1e02e6fd,TJSP,2026-04-28T01:52:35.084000Z,ARQUIVADO,Procedimento do Juizado Especial Cível,True
CTA-35447,DOS-54464,40223226620258260002,PIS_REC_001,Fiança Bancária,484885.55,PENDENTE,983708f2b4435c532cdbe327f4b13a36df0919a8f39a7aa9f46489893ff1a151,bbc859c03f7a5b9e105fd46b016ea4361643d13808efc0220e012d4637555023,TJSP,2026-04-28T01:52:35.192000Z,BAIXADO,Monitória,True
CTA-44823,DOS-24677,40060436420268260068,PIS_TRAB_004,Bloqueio Judicial,25669.7,ATIVO,9d14ef78fe3972c341860175600b98d01eacc94084b76c2eaa00b0dbd589024c,47a0f7196329fde4d4f202372f2079957a5339c216e6d31802d3d5ea93dd5ae0,TJSP,2026-04-28T01:52:35.357000Z,EM_ANDAMENTO,Cumprimento de sentença,True
